original_sentence,multilingual_sentence,predicted_sentence,bert_score,model_name
Artificial intelligence processed vast amounts of human data daily.,Kunstig intelligence zpracováno vaste määriä de manusia dane יוֹמִי.,Artificial intelligence processed large amounts of human data daily.,98.96,openai/gpt-4o-2024-11-20
The colors blended harmoniously within her vibrant abstract paintings.,De الألوان pha trộn harmoniously w ei มีชีวิตชีวา περίληψη картини.,The colors blend harmoniously into a vivid summary of the painting.,60.99,openai/gpt-4o-2024-11-20
The chess player focused intensely on her opponent's strategy.,El šach נַגָן tập trung intenzivně op henne motståndare استراتيجية.,The chess player focuses intensively on her opponent's strategy.,94.68,openai/gpt-4o-2024-11-20
The smartwatch track monitored her daily step count precisely tonight.,các smartklocka रास्ता monitorované dia päivittäin langkah عدد precisamente dnes večer.,The smart watch tracks the steps daily precisely tonight.,66.47,openai/gpt-4o-2024-11-20
The detective found a hidden clue in her notebook.,De detectiv พบ ある versteckt فكرة in suo cuốn sổ.,The detective found an idea hidden in his notebook.,78.86,openai/gpt-4o-2024-11-20
Alien spacecraft descended quietly onto the deserted distant planet.,Alieno kozmická loď descended चुपचाप üzerine cái déserté 먼 Planet.,The alien spaceship descended silently onto the deserted distant planet.,89.39,openai/gpt-4o-2024-11-20
A solitary falcon soared silently above the desert dunes.,A solitario 매 tăng vọt silenciosamente Sopra a woestijn เนินทราย,The lonely hawk soars silently over a desert dune.,71.74,openai/gpt-4o-2024-11-20
The pharaoh's tomb remained hidden beneath the scorching desert sands.,Der фараона grav è rimasto 隠れた under את उष्णता صحراء pasir.,The pharaoh's grave remained hidden under the desert heat.,80.27,openai/gpt-4o-2024-11-20
Self-discovery lies at the core of true inner peace always.,自我发现 lži på itu ydin ile ilgili ægte interno спокій Sempre.,Self-discovery lies at the core related to true inner peace always.,92.09,openai/gpt-4o-2024-11-20
Trekkers navigated uncharted islands in search of ancient ruins.,Trekkerzy navigated inesplorato øer σε căutare de ikivanha Ruinen.,Trekkers navigated unexplored islands in search of ancient ruins.,94.65,openai/gpt-4o-2024-11-20
Artificial intelligence algorithms learned from vast amounts of data.,Artificiale istihbarat thuật toán aprendido daripada omfattande סכומים z данные.,Artificial intelligence algorithms learned from comprehensive data.,88.8,openai/gpt-4o-2024-11-20
Artificial intelligence integrated seamlessly into every smartphone now.,Künstlich inteligenciu integrerad en toute transparence ~ 안으로 elk スマートフォン Şimdi.,Artificial intelligence integrated in full transparency into every smartphone now.,84.56,openai/gpt-4o-2024-11-20
Astronauts navigated through the galaxy's uncharted cosmic wormholes safely tonight.,Astronautit navigated ~을 통해 ที่ galakser inexploré kozmický червоточины सुरक्षित रूप से i kväll.,Astronauts navigated through the galaxies' unexplored cosmic wormholes safely this evening.,90.41,openai/gpt-4o-2024-11-20
Alien technology crashed silently into the abandoned spaceship's control room.,Alien teknoloji kaatui 静かに inn i IL övergiven nave espacial controle ruang.,An alien technology fell silently into an abandoned spaceship control room.,69.4,openai/gpt-4o-2024-11-20
The aroma of freshly baked croissants filled her entire kitchen.,De аромат из طازجة paistettu croissanty diisi ei ทั้งหมด keuken.,The aroma of fresh baked croissants fills not the whole kitchen.,75.49,openai/gpt-4o-2024-11-20
Spring showers brought vibrant colors to the barren landscape suddenly.,Lente chuveiros getirilmiş vibrant кольори に le 荒芜 풍경 All'improvviso.,Spring showers brought vibrant colors into the desolate landscape suddenly.,93.74,openai/gpt-4o-2024-11-20
The professional tennis player carefully planned her comeback strategy.,ה επαγγελματίας tenis odtwarzacz cu grijă planejado 彼女 повернення strategi.,The professional tennis player carefully planned her return strategy.,85.08,openai/gpt-4o-2024-11-20
The last autumn leaves fell gently onto the frozen lake.,The τελευταίος automne 나뭇잎 faldt обережно auf את zmrazené jezero.,The last autumn leaf fell carefully on the frozen lake.,89.79,openai/gpt-4o-2024-11-20
The spaceship hurtled through the swirling vortex of dark matter.,The חֲלָלִית slengte через itu στροβιλίζεται xoáy nước з escuro Gegenstand.,The spaceship threw through it whirls a vortex of water from the dark object.,36.31,openai/gpt-4o-2024-11-20
Cartographers mapped ancient ruins deep within the jungle.,Kartografer kartoitettu antik руины 深い 이내에 cái junglă.,The cartographer mapped ancient ruins deep within the jungle.,88.51,openai/gpt-4o-2024-11-20
The pharaoh's mysterious smile adorned the temple's stone pedestal.,Der фараона misterius sonrisa украшенный a ของวัด steen piedestal.,The pharaoh's mysterious smile adorned the stone pedestal of the temple.,89.18,openai/gpt-4o-2024-11-20
The astronauts navigated through the mysterious swirling purple asteroid.,The astronauten navigato kautta в mystisk berpusing-pusing lilla asteroit.,The astronaut navigates through the mysterious spinning little asteroid.,86.89,openai/gpt-4o-2024-11-20
The archaeologists carefully excavated the long-lost city's ancient temple.,The arkeologlar ostrożnie खुदाई IL فقدت منذ فترة طويلة byens โบราณ templo.,The archaeologists carefully excavated the long-lost city's ancient temple.,100.0,openai/gpt-4o-2024-11-20
The aroma of freshly baked croissants filled the entire bakery.,The aromat av 新鲜地 बेक किया हुआ croissanter 채우는 le keseluruhan bageri.,The aroma of freshly baked croissants filling the entire bakery.,93.4,openai/gpt-4o-2024-11-20
Quantum physics predicted catastrophic convergence in distant parallel galaxies.,Kvante fysik भविष्यवाणी की catastrófico التقارب di dalam fjern paralel sterrenstelsels.,Quantum physics predicted the catastrophic convergence within distant parallel galaxies.,91.57,openai/gpt-4o-2024-11-20
Quantum computers decoded ancient alien hieroglyphic messages successfully yesterday.,양자 מחשבים डीकोड 古代 fremmed hiéroglyphique meldinger successfully gisteren.,Quantum computers decode ancient foreign hieroglyphic messages successfully yesterday.,86.0,openai/gpt-4o-2024-11-20
Advanced androids explored mysterious abandoned space colonies quietly tonight.,Geavanceerd androidy utforsket salaperäinen verlassen space מושבות tranquillamente ce soir.,Advanced androids explored mysterious abandoned space colonies peacefully tonight.,96.1,openai/gpt-4o-2024-11-20
The meaning of life is not found in destinations.,ที่ meaning daripada života Jest لا thành lập i kohteet.,The meaning of life is not established and objects.,50.88,openai/gpt-4o-2024-11-20
The old mirror reflected her screaming face back slowly., cũ espelho 反映 dia skriking ansikte z powrotem pomaly.,The old mirror reflects the day screaming face back slowly.,71.52,openai/gpt-4o-2024-11-20
The clumsy waiter spilled coffee all over his shirt.,の onhandig waiter หก kávu tous закінчено jego áo sơ mi.,The clumsy waiter spilled coffee all over his shirt.,100.0,openai/gpt-4o-2024-11-20
The warmth of her smile lingered long after goodbye., ζεστασιά / ei 笑顔 lingered długi etter tạm biệt.,Warmth and a smile lingered long after the goodbye.,67.41,openai/gpt-4o-2024-11-20
A solitary butterfly emerged from its cocoon slowly.,A samotny бабочка surgiu מִן onun bozzolo 慢慢地。,A lonely butterfly emerged from its cocoon slowly.,95.85,openai/gpt-4o-2024-11-20
The clumsy comedian tripped over his own microphone wires.,De neîndemânatic コメディアン παραπάτησε üzerinde hänen eigen mikropon wayar.,The clumsy comedian tripped on his own microphone wire.,98.31,openai/gpt-4o-2024-11-20
"The figure emerged from darkness, eyes glowing like embers.","그만큼 фигура dukket op から escuridão, mata rozjarzony 喜欢 žeravé uhlíky.","The figure appeared from the darkness, glowing like embers.",84.83,openai/gpt-4o-2024-11-20
Vivid colors danced in her mind while she slept.,鮮やかな farver танцевал dalam hennes mente terwijl ona спав.,Vivid colors danced inside her mind while she slept.,98.49,openai/gpt-4o-2024-11-20
Colorful street art adorned the historic city's old guitar factory.,Kleurrijk sokak arte berhias cel 歴史的な เมือง पुराना Gitarre фабрика.,"The colorful street, decorated with art, the historical old city guitar factory.",53.67,openai/gpt-4o-2024-11-20
Ancient ruins lay hidden beneath the dense Amazonian jungle.,Vechi руины 躺着 ẩn giấu abaixo de كثيفة amazonský orman.,Ancient ruins lie hidden beneath the dense Amazonian forest.,91.71,openai/gpt-4o-2024-11-20
Artificial intelligence revolutionized the entire digital gadget industry suddenly.,Τεχνητός 知能 revolutionized the keseluruhan dijital Gadget industrie Tiba-tiba.,Artificial intelligence revolutionized the entire digital gadget industry suddenly.,100.0,openai/gpt-4o-2024-11-20
The last scream still echoed in her abandoned bedroom.,The 마지막 krzyk ακόμη fait écho v henne 放棄された Schlafzimmer.,The final cry still echoes in her abandoned bedroom.,92.53,openai/gpt-4o-2024-11-20
The majestic eagle soared effortlessly above the serene forest.,の majesteettinen aquila взлетел bez wysiłku ~ 위에 в thanh thản floresta.,The majestic eagle flew effortlessly above the serene forest.,97.75,openai/gpt-4o-2024-11-20
Vibrant colors swirled in her mind during sleep.,Lebendig warna wervelde i jej mente během לִישׁוֹן.,Alive color swirled in her mind during sleep.,87.43,openai/gpt-4o-2024-11-20
"In her dreams, she soared above a vibrant rainbow landscape.","sisään dia sny, ella s'est envolé вище Một vibrant ουράνιο τόξο manzara.","Inside, she cut, she flew away above a vibrant rainbow scene.",44.06,openai/gpt-4o-2024-11-20
The Phoenician merchant carefully balanced precious spices on his ship.,De fenicki thương gia omhyggeligt מְאוּזָן дорогоцінний เครื่องเทศ pada son سفينة.,The Phoenician merchant carefully balanced precious spices on the end of a ship.,84.11,openai/gpt-4o-2024-11-20
The meaning of life was hidden within every sunrise.,の מַשְׁמָעוּת dari život var verborgen w mọi восход.,The meaning of life was hidden in every sunrise.,94.61,openai/gpt-4o-2024-11-20
The wind whispers ancient truths to the sleeping mind.,The vind thì thầm प्राचीन kebenaran till o نائم Geist.,The whispering ancient truth to the sleeping spirit.,71.04,openai/gpt-4o-2024-11-20
The chess grandmaster carefully contemplated each strategic board move.,그만큼 cờ vua grandmaster ретельно overvejet každý strateginen borde beweging.,The chess grandmaster carefully considered every strategic move.,89.91,openai/gpt-4o-2024-11-20
A lone astronaut detected anomalies in distant interstellar space.,A osamělý 우주 비행사 phát hiện anomali en fjern interstelar rom.,A lonely astronaut discovers an anomaly in distant interstellar space.,88.69,openai/gpt-4o-2024-11-20
Coffee fueled her busy morning commute routine every day.,Káva yakıtlı ее zajęty pagi 通勤 rotina mọi dag.,"Coffee-fueled, her busy morning commute routine every day.",70.28,openai/gpt-4o-2024-11-20
Coffee warmed her hands on a chilly winter morning.,Kahvia erwärmt son hender på A koud חוֹרֶף 朝。,The coffee warms his hands on a cold winter morning.,82.97,openai/gpt-4o-2024-11-20
Her gentle touch ignited a warm spark within him.,Ihr lemah lembut dotyk ignited ある Caldo fagulha v उसे।,Your weak gentle touch ignited a warm spark in him.,82.68,openai/gpt-4o-2024-11-20
Freshly baked croissants wafted heavenly aromas through the café.,Świeżo 焼きました Croissants wafted céleste aromas διά μέσου de 咖啡店。,Freshly baked croissants wafted heavenly aromas through the coffee shop.,95.11,openai/gpt-4o-2024-11-20
The path to enlightenment lies within one's own reflection.,Ο cesta до 启示 שקרים 이내에 jedného Proprio Spiegelung.,The path to revelation lies within one's own reflection.,95.3,openai/gpt-4o-2024-11-20
The silly clown tripped over his oversized bright red shoes.,Le โง่ palyaço zakopla ऊपर miliknya 超大的 ljus czerwony đôi giày.,The stupid clown tripped over his huge light red shoes.,86.87,openai/gpt-4o-2024-11-20
A majestic butterfly fluttered around the blooming wildflowers.,O megah פַּרְפַּר třepotala se in giro itu 盛开 hoa dại.,The majestic butterfly fluttered around the blooming wildflowers.,94.82,openai/gpt-4o-2024-11-20
The silent observer sees more truth than those speaking.,các тихий pozorovateľ widzi יוֹתֵר 진실 decât mereka snakker.,The quiet observer sees more truth than they speak.,65.66,openai/gpt-4o-2024-11-20
Moonlit dragons soared above the mystical forest's ancient ruins.,Månljus lohikäärmeitä steg i vejret πάνω από the mistik 森林的 oud gruzy.,Moonlight dragons soared over the mystic forest's old rubble.,78.82,openai/gpt-4o-2024-11-20
The wise Egyptian pharaoh deciphered ancient hieroglyphic scrolls slowly.,The 賢い मिस्र के 法老 rozluštěno עַתִיק hieroglyfisk ruller slowly.,The wise Egyptian pharaoh deciphered ancient hieroglyphic scrolls slowly.,100.0,openai/gpt-4o-2024-11-20
Astronauts carefully explored distant nebulae in their small spaceship.,Astronautas soigneusement zbadane jauh 星云 σε 彼らの klein romskip.,Astronauts carefully explored a distant nebula in their small spaceship.,91.02,openai/gpt-4o-2024-11-20
The detective unraveled the cryptic message on her notebook.,Ο detective सुलझाया de khó hiểu Nachricht päällä ei notebook.,The detective solved the puzzling message on a notebook.,79.66,openai/gpt-4o-2024-11-20
Saffron threads infused warmth into her simmering rich chocolate sauce.,Şofran หัวข้อ infused тепло do dia gotując się עָשִׁיר cokelat kastike.,The saffron-infused warmth of the day's cooking is a rich chocolate sauce.,42.63,openai/gpt-4o-2024-11-20
Vibrant colors danced in her mind during lucid dreams.,Wibrujący 그림 물감 tancoval ใน ها 头脑 tijdens lucido những giấc mơ.,The vibrant paint danced in the mind during lucid dreams.,69.82,openai/gpt-4o-2024-11-20
The playful elephant carried its injured calf home slowly.,The 遊び心のある हाथी getragen 它是 skadade calf дом încet.,The playful elephant carried its injured calf home slowly.,100.0,openai/gpt-4o-2024-11-20
Suspicious strangers lurked in the dark alleyway last night.,Podejrzany orang asing причаївся في cái sombre Gasse last noapte.,The suspicious foreigner was lurking in the dark alley last night.,72.8,openai/gpt-4o-2024-11-20
Her warm smile lit up the entire dark room.,Hennes חַם uśmiech verlicht Sus the inteiro dark huone.,Her warm smile illuminates the entire dark room.,92.21,openai/gpt-4o-2024-11-20
